lower_layer_super_output_areas_code,asian_asian_british_or_asian_welsh_bangladeshi,asian_asian_british_or_asian_welsh_chinese,asian_asian_british_or_asian_welsh_indian,asian_asian_british_or_asian_welsh_pakistani,asian_asian_british_or_asian_welsh_other_asian
E01002668,0.008326029798422436,0.015775635407537247,0.0950920245398773,0.02147239263803681,0.051709027169149865
E01002669,0.014121338912133892,0,0.053347280334728034,0.05543933054393305,0.047594142259414225
E01002670,0.0030785017957927143,0.014879425346331451,0.09030271934325294,0.029245767060030785,0.044638276038994354
E01002671,0.00487012987012987,0.0091991341991342,0.02922077922077922,0.027056277056277056,0.021103896103896104
E01002672,0.0037688442211055275,0.016331658291457288,0.08982412060301508,0.055904522613065326,0.08165829145728644
E01002673,0.013888888888888888,0.006038647342995169,0.05555555555555555,0.057971014492753624,0.12741545893719808
E01002674,0.014832535885167464,0.01674641148325359,0.2985645933014354,0.08708133971291866,0.05837320574162679
E01002675,0.00583203732503888,0.008553654743390357,0.20373250388802489,0.07153965785381027,0.05948678071539658
E01002676,0.013333333333333334,0.010303030303030303,0.43212121212121213,0.059393939393939395,0.052121212121212124
E01002677,0.006259027443428021,0.012518054886856042,0.1401059220028888,0.04285026480500722,0.061627347135291284
E01002678,0.0024390243902439024,0.010731707317073172,0.29121951219512193,0.07658536585365854,0.04390243902439024
E01002679,0.0037654653039268424,0.006993006993006993,0.19903173749327596,0.07584722969338353,0.05379236148466918
E01002680,0.007228915662650603,0.010602409638554217,0.23951807228915661,0.05927710843373494,0.03855421686746988
E01002681,0.008631319358816275,0.007809288943690916,0.12042745581586518,0.04315659679408138,0.0632963419646527
E01002682,0.007271171941830625,0.01240376390076989,0.0855431993156544,0.05603079555175364,0.06928999144568007
E01002686,0.014092446448703494,0.012401352874859075,0.04284103720405862,0.03551296505073281,0.05636978579481398
E01002687,0.004189108318372232,0.01615798922800718,0.04428485936564931,0.008378216636744464,0.09754637941352484
E01002689,0.006414368184733804,0.011545862732520847,0.030788967286722257,0.021167415009621552,0.028223220012828735
E01002690,7.267441860465116e-4,0.011627906976744186,0.023982558139534885,0.007994186046511628,0.03343023255813953
E01002691,0.002452483139178418,0.04230533415082771,0.04659717964438995,0.012262415695892091,0.049049662783568364
E01002692,0.005230622919638612,0.02282453637660485,0.05801236329053733,0.016167379933428434,0.04945316214931051
