msoa21cd,eur21,pop21
E02000565,1464,8543
E02000566,1387,8556
E02000567,1771,10438
E02000568,2015,11344
E02000569,1634,9939
E02000570,1306,8286
E02000571,1708,8924
E02000572,1608,8602
E02000573,1887,10313
E02000574,1621,7833
E02000575,2423,11312
E02000576,2027,10673
E02000577,1243,7713
E02000578,934,6005
E02000579,1432,8993
E02000580,1446,7895
E02000581,1159,7392
E02000582,1682,6543
E02000583,1248,6428
E02000584,1746,7175
E02000585,1866,8087
E02000586,2174,6474
E02000587,1720,6496
E02000588,1905,5981
E02000589,2072,7249
E02000590,1402,5974
E02000591,1701,6212
E02000592,1974,5764
E02000593,2657,7393
E02000594,1512,6480
E02000595,1522,6163
E02000596,1974,6618
E02000597,1141,6335
E02000598,1082,8093
E02000599,825,7006
E02000600,1146,8359
E02000601,1683,11907
E02000602,1471,10313
E02000603,1204,8638
E02000604,1138,9242
E02000605,958,8488
E02000606,1838,10560
E02000607,797,6794
E02000608,1206,7198
E02000609,715,7628
E02000610,1158,7954
E02000611,624,7439
E02000612,661,8251
E02000613,975,8097
E02000614,1289,9294
E02000615,778,7882
E02000616,491,6059
E02000617,843,8864
E02000619,1304,9099
E02000620,1551,9844
E02000621,2486,12520
E02000622,1261,8404
E02000623,1391,7860
E02000624,1283,9632
E02000625,1574,9304
E02000626,859,8362
E02000627,1321,9554
E02000628,1709,10785
E02000629,1389,9116
E02000630,1140,7538
E02000631,1037,9525
E02000632,1272,9583
E02000633,1029,9160
E02000634,942,6773
E02000635,1150,9811
E02000636,1000,7717
E02000637,1129,8402
E02000638,1363,10256
E02000639,1364,8322
E02000640,1037,9293
E02000641,1007,8630
E02000642,1162,9809
E02000643,1430,9378
E02000644,1281,8521
E02000645,1300,9534
E02000646,1566,9500
E02000647,1117,8592
E02000648,820,7825
E02000649,2345,12476
E02000650,866,7665
E02000651,1430,8738
E02000652,1513,7559
E02000653,2422,12608
E02000654,1108,8787
E02000655,1598,10283
E02000657,1397,9906
E02000658,1105,8620
E02000659,1061,8063
E02000660,1182,8206
E02000661,841,6492
E02000662,922,8297
E02000663,891,6796
E02000665,1155,8154
E02000666,744,7189
E02000667,691,6685
E02000668,781,6860
E02000669,1180,7972
E02000670,910,6706
E02000671,922,8742
E02000672,1584,10272
E02000673,870,8142
E02000674,985,8454
E02000675,1018,8526
E02000676,834,7816
E02000677,850,7208
E02000678,777,6961
E02000679,892,8133
E02000680,841,7035
E02000681,854,8474
E02000682,989,8931
E02000683,869,6768
E02000685,934,8131
E02000686,820,7536
E02000687,918,8267
E02000689,1384,9054
E02000690,749,5525
E02000691,1204,7355
E02000692,1268,7655
E02000693,1924,9853
E02000694,1366,9102
E02000695,1644,8641
E02000696,1910,8630
E02000697,1583,8728
E02000698,1088,8234
E02000699,1340,8215
E02000700,1608,8661
E02000701,1694,9012
E02000702,1368,9323
E02000703,1107,7965
E02000704,1555,8601
E02000705,1584,9328
E02000706,1612,10033
E02000707,960,8305
E02000708,1158,8893
E02000709,1077,7977
E02000710,1497,9186
E02000711,1991,9446
E02000712,1281,9666
E02000713,818,7807
E02000714,1470,7712
E02000715,1072,7298
E02000716,1135,7353
E02000717,1261,8357
E02000718,907,7407
E02000719,1937,8077
E02000720,932,7487
E02000721,1242,9544
E02000722,2100,8142
E02000723,1348,11193
